# Rime user dictionary
#@/db_name	bxm26J
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	64909
#@/user_id	1520d77d-d27c-4605-8f5b-f25221a59c49
a 	又	c=112 d=4.9658 t=64909
ori 	唄	c=2 d=1.13644e-63 t=64909
orib 	呗	c=14 d=4.87068e-38 t=64909
orih 	员工	c=6 d=1.34812e-73 t=64909
oriy 	员	c=10 d=1.49198e-60 t=64909
oru 	嗪	c=2 d=1.41292e-37 t=64909
os 	吗	c=172 d=4.46567 t=64909
oshh 	号	c=169 d=14.8373 t=64909
osj 	哦	c=9 d=5.02687e-27 t=64909
osps 	号码	c=27 d=7.4264e-76 t=64909
osz 	吗	c=11 d=0.771052 t=64909
ou 	叫	c=16 d=0.188247 t=64909
oua 	唩	c=1 d=5.50888e-16 t=64909
ov 	吃	c=59 d=0.970446 t=64909
ovhh 	唯一	c=7 d=3.57421e-44 t=64909
ovho 	哈	c=10 d=0.00217658 t=64909
ovi 	唯	c=1 d=7.95886e-21 t=64909
ovk 	咋	c=5 d=2.29083e-46 t=64909
ovkj 	吃饭	c=1 d=7.03541e-70 t=64909
ovov 	哈哈	c=7 d=0.532937 t=64909
ovto 	啥	c=15 d=1.37421e-20 t=64909
ox 	别	c=26 d=1.11563e-27 t=64909
oxa 	吱	c=2 d=6.15992e-36 t=64909
oxdl 	另外	c=2 d=1.9119e-07 t=64909
oxdo 	别名	c=27 d=1.45798e-24 t=64909
oxfz 	别扭	c=1 d=1.62076e-34 t=64909
oxg 	别	c=2 d=1.84482e-28 t=64909
oxh 	叶	c=2 d=4.34659e-81 t=64909
oxvj 	别人	c=3 d=6.47574e-36 t=64909
oxz 	另	c=39 d=3.44975 t=64909
oxzz 	叶子	c=1 d=4.86654e-28 t=64909
oyoy 	嘻嘻	c=2 d=1.1702e-55 t=64909
oz 	吼	c=2 d=6.2477e-26 t=64909
ozyl 	哪些	c=4 d=1.39143 t=64909
p 	即	c=35 d=1.68499 t=64909
pa 	破	c=1 d=9.24846e-23 t=64909
paf 	降	c=10 d=0.782704 t=64909
pahn 	破解	c=1 d=1.26259e-96 t=64909
patx 	降雨	c=2 d=6.38565e-40 t=64909
pavj 	降低	c=3 d=0.263158 t=64909
pawa 	降级	c=13 d=4.77829 t=64909
payt 	破坏	c=2 d=1.8467e-40 t=64909
pb 	阳	c=3 d=1.07803e-31 t=64909
pbgh 	阳光	c=1 d=9.91198e-44 t=64909
pbiy 	阳	c=1 d=9.57892e-83 t=64909
pbjx 	阳历	c=2 d=3.66672e-42 t=64909
pbns 	阻塞	c=1 d=8.81086e-41 t=64909
pbyi 	阻止	c=4 d=3.27449e-26 t=64909
pc 	属	c=7 d=0.0234004 t=64909
pclj 	属性	c=74 d=1.20768 t=64909
pcth 	属于	c=3 d=1.11419e-29 t=64909
pcth 	砸下	c=1 d=3.22497e-99 t=64909
pd 	既	c=2 d=9.17389e-16 t=64909
pddr 	既然	c=1 d=1.01595e-39 t=64909
pdkd 	即将	c=1 d=1.61422e-104 t=64909
pdto 	即可	c=1 d=7.73079e-120 t=64909
pdvr 	即使	c=1 d=2.59251e-119 t=64909
peik 	刷新	c=30 d=4.03811 t=64909
pf 	陆	c=1 d=2.24807e-89 t=64909
pfu 	陆	c=1 d=7.25014e-12 t=64909
pg 	际	c=3 d=6.01109e-13 t=64909
pgg 	际	c=7 d=3.44667e-34 t=64909
pgi 	矵	c=1 d=1.21082e-74 t=64909
pgtq 	层面	c=1 d=3.56984e-59 t=64909
pgu 	层	c=14 d=5.12057e-09 t=64909
ph 	石	c=5 d=3.47044e-73 t=64909
phdy 	石油	c=2 d=1.46691 t=64909
phhs 	隐藏	c=15 d=0.748263 t=64909
phiv 	确认	c=119 d=5.5658 t=64909
phix 	隔离	c=4 d=4.35562e-76 t=64909
phjy 	卫生	c=1 d=2.98238e-32 t=64909
phng 	确实	c=3 d=0.618784 t=64909
phnj 	石家庄	c=6 d=9.74593e-86 t=64909
phnq 	硬盘	c=4 d=1.88393e-27 t=64909
phnt 	确定	c=19 d=6.04912e-06 t=64909
phtq 	屋面	c=1 d=8.15285e-69 t=64909
phuu 	隐私	c=1 d=5.10545e-33 t=64909
phuy 	屋	c=1 d=4.23869e-50 t=64909
phvf 	硬件	c=8 d=0.00266702 t=64909
phvl 	石化	c=1 d=0.782704 t=64909
phvo 	确保	c=7 d=0.546075 t=64909
pi 	防	c=1 d=6.46342e-43 t=64909
pifd 	防护	c=1 d=2.78493e-79 t=64909
piko 	陪	c=2 d=6.54597e-67 t=64909
pipb 	防阻	c=1 d=7.70084e-45 t=64909
pipb 	障碍	c=5 d=1.39129e-43 t=64909
pird 	防火	c=2 d=0.177284 t=64909
piry 	防火墙	c=15 d=4.12663 t=64909
piyi 	防止	c=4 d=1.13269e-46 t=64909
pjt 	斫	c=1 d=2.05138e-100 t=64909
pk 	退	c=16 d=3.47861e-14 t=64909
pkeu 	退出	c=16 d=2.29073 t=64909
pkh 	屏	c=15 d=1.50433 t=64909
pkhb 	屏幕	c=13 d=2.99066e-33 t=64909
pkhg 	屏蔽	c=1 d=4.15406e-48 t=64909
pknq 	磁盘	c=2 d=2.51999e-50 t=64909
pktz 	退还	c=4 d=6.15164e-105 t=64909
pkub 	退租	c=121 d=5.27182e-25 t=64909
pkvl 	退货	c=1 d=1.81698e-55 t=64909
pkxz 	磁力	c=1 d=9.58349e-118 t=64909
pkz 	退	c=2 d=3.09912e-99 t=64909
pl 	陈	c=2 d=1.18793e-26 t=64909
pljw 	尾	c=4 d=5.3046e-42 t=64909
plyg 	尾款	c=2 d=2.982e-110 t=64909
pnbi 	阴影	c=4 d=5.42762e-110 t=64909
pngw 	院	c=1 d=3.64902e-23 t=64909
pnlr 	尽快	c=1 d=9.96272e-104 t=64909
pnxd 	尺寸	c=8 d=2.0078e-24 t=64909
pnxz 	尽力	c=1 d=1.03951e-44 t=64909
po 	君	c=2 d=1.14391e-23 t=64909
pohw 	避免	c=8 d=0.194954 t=64909
powj 	壁纸	c=9 d=4.4946 t=64909
poxa 	群发	c=1 d=0.767206 t=64909
poy 	羣	c=1 d=1.18321e-38 t=64909
pp 	限	c=14 d=5.58615 t=64909
ppbx 	限时	c=1 d=2.46371e-49 t=64909
ppjf 	限制	c=13 d=9.82357e-25 t=64909
ps 	民	c=1 d=2.91649e-122 t=64909
psbg 	展期	c=29 d=2.95976e-05 t=64909
psgg 	展示	c=27 d=2.31602 t=64909
psiw 	展现	c=2 d=1.92941e-26 t=64909
psk 	展	c=1 d=1.29632e-112 t=64909
psng 	研究	c=2 d=2.07017e-38 t=64909
psnj 	研究生	c=1 d=2.57659e-76 t=64909
psz 	码	c=21 d=2.06861 t=64909
pt 	阿	c=24 d=1.56863 t=64909
ptfv 	阿拉伯	c=2 d=4.14021e-89 t=64909
pto 	阿	c=15 d=2.40541e-32 t=64909
ptyh 	硕士	c=1 d=2.64182e-76 t=64909
pv 	队	c=11 d=1.34379 t=64909
pvdl 	除外	c=1 d=0.442639 t=64909
pvfw 	阶段	c=22 d=3.25946 t=64909
pvgj 	阶	c=1 d=9.59717e-76 t=64909
pvgm 	除数	c=1 d=0.00282288 t=64909
pvhm 	除	c=19 d=1.62594 t=64909
pvhn 	附带	c=1 d=0.501576 t=64909
pvjt 	附近	c=6 d=3.03487e-06 t=64909
pvvf 	附件	c=60 d=0.97531 t=64909
pvwa 	阶级	c=1 d=0.647265 t=64909
pvwz 	除了	c=1 d=7.86872e-34 t=64909
pvxo 	附加	c=2 d=1.68587e-106 t=64909
pvyu 	除去	c=1 d=8.74754e-15 t=64909
px 	随	c=5 d=1.50002e-35 t=64909
pxbx 	随时	c=1 d=7.76583e-85 t=64909
pxdr 	居然	c=1 d=2.91073e-40 t=64909
pxfi 	居中	c=2 d=2.79713e-42 t=64909
pxmw 	随机	c=40 d=2.51548 t=64909
pxnq 	居家	c=19 d=1.28259e-55 t=64909
pxnz 	随	c=1 d=1.56124e-35 t=64909
pxvh 	随便	c=1 d=9.44787e-68 t=64909
pxvi 	居住	c=1 d=3.66844e-56 t=64909
pxyb 	随着	c=3 d=0.66034 t=64909
pz 	局	c=4 d=0.647265 t=64909
pzo 	局	c=1 d=0.631284 t=64909
pzys 	局域	c=2 d=1.07766e-27 t=64909
q 	国	c=76 d=2.95973 t=64909
qa 	图	c=169 d=11.9211 t=64909
qaix 	图文	c=1 d=0.771052 t=64909
qakj 	图片	c=56 d=13.6926 t=64909
qamg 	图标	c=29 d=2.74488 t=64909
qao 	略	c=1 d=1.34519e-18 t=64909
qasg 	图形	c=8 d=2.82864e-27 t=64909
qavh 	图例	c=1 d=6.9801e-36 t=64909
qavh 	图像	c=5 d=5.65699e-34 t=64909
qayj 	图表	c=41 d=1.77126e-25 t=64909
qcik 	独立	c=10 d=0.000676583 t=64909
qd 	罗	c=1 d=1.27597e-73 t=64909
qdlo 	逻辑	c=30 d=0.970446 t=64909
qg 	园	c=6 d=1.74144 t=64909
qgrl 	圈	c=6 d=5.02253e-103 t=64909
qhq 	貓	c=1 d=0.786628 t=64909
qig 	罚	c=5 d=7.45855e-73 t=64909
qikm 	国籍	c=4 d=1.3365e-55 t=64909
qini 	国内	c=1 d=6.58102e-108 t=64909
qinq 	国家	c=4 d=7.64663e-50 t=64909
qipg 	国际	c=4 d=5.29283e-34 t=64909
qizj 	罚金	c=4 d=2.05746e-111 t=64909
qj 	署	c=5 d=1.85117e-39 t=64909
qjb 	豬	c=1 d=6.14486e-66 t=64909
qjj 	狐	c=7 d=1.32335e-40 t=64909
qmav 	困难	c=1 d=1.86755e-25 t=64909
qo 	回	c=96 d=0.726149 t=64909
qoin 	回调	c=9 d=2.86998 t=64909
qoix 	回文	c=2 d=1.85326e-53 t=64909
qokv 	回答	c=24 d=1.53787 t=64909
qolh 	回车	c=1 d=0.404542 t=64909
qomg 	回来	c=9 d=5.14241e-59 t=64909
qonq 	回家	c=10 d=5.42009e-53 t=64909
qor 	圓	c=2 d=1.59853e-48 t=64909
qoua 	回收	c=4 d=8.2253e-26 t=64909
qovb 	回复	c=4 d=1 t=64909
qoyu 	回去	c=25 d=8.10699e-32 t=64909
qp 	狠	c=1 d=1.24667e-35 t=64909
qq 	圜	c=2 d=0.786927 t=64909
qr 	因	c=4 d=0.531137 t=64909
qrdx 	因为	c=55 d=1.71666 t=64909
qrto 	畸	c=1 d=3.20844e-68 t=64909
qrzz 	因子	c=2 d=6.50339e-38 t=64909
qu 	思	c=1 d=2.55242e-24 t=64909
quea 	思路	c=1 d=1.80952e-36 t=64909
qujs 	思考	c=1 d=1.65654e-85 t=64909
qumb 	思想	c=1 d=5.14065e-55 t=64909
qv 	界	c=1 d=2.98848e-56 t=64909
qviv 	四舍五入	c=4 d=0.623313 t=64909
qvtq 	界面	c=65 d=3.24024 t=64909
qvzr 	猴	c=2 d=4.02511e-30 t=64909
qw 	四	c=24 d=2.06531 t=64909
qwg 	累	c=3 d=1.63085e-48 t=64909
qwhg 	猕	c=1 d=4.00504e-30 t=64909
qwix 	累计	c=3 d=3.14234e-29 t=64909
qwuo 	累积	c=5 d=2.40019e-68 t=64909
qx 	团	c=4 d=0.0987658 t=64909
qxnt 	固定	c=11 d=1.44868e-37 t=64909
qxpv 	团队	c=4 d=3.76206e-29 t=64909
qxtt 	置顶	c=2 d=1.34354e-33 t=64909
qxvf 	固件	c=1 d=1.14427e-56 t=64909
qxz 	男	c=4 d=0.271173 t=64909
qyn 	猜	c=3 d=2.90798e-53 t=64909
qzyg 	逐步	c=2 d=1.92527e-53 t=64909
r 	大	c=215 d=4.786 t=64909
rb 	春	c=1 d=0.995012 t=64909
rbhp 	春节	c=1 d=3.04253e-61 t=64909
rbm 	煤	c=1 d=0.744531 t=64909
rd 	太	c=57 d=1.11017e-19 t=64909
rdjh 	火	c=6 d=1.00185 t=64909
rdkj 	燃气	c=6 d=1.30978e-20 t=64909
rdpb 	太阳	c=1 d=1.71922e-22 t=64909
rdu 	态	c=18 d=1.05073e-39 t=64909
rdzo 	火锅	c=1 d=8.08134e-83 t=64909
re 	灿	c=2 d=1.76719e-44 t=64909
rei 	灿	c=2 d=1.88544e-100 t=64909
rf 	奉	c=1 d=1.03696e-74 t=64909
rfh 	套	c=3 d=9.89342e-22 t=64909
rfht 	套	c=3 d=3.45234e-77 t=64909
rfvf 	套件	c=2 d=6.31606e-07 t=64909
rg 	则	c=49 d=0.102813 t=64909
rgd 	夹	c=15 d=0.000140132 t=64909
rgvh 	躺倒	c=1 d=1.0762e-11 t=64909
rgxo 	夹克	c=2 d=1.40233e-116 t=64909
rh 	夫	c=5 d=0.767705 t=64909
rhdd 	大多	c=1 d=3.57421e-44 t=64909
rhh 	夫	c=1 d=6.78375e-112 t=64909
rhik 	大意	c=1 d=2.57046e-48 t=64909
rhjt 	大厦	c=11 d=1.02735e-103 t=64909
rhl 	牙	c=1 d=2.43422e-25 t=64909
rhmp 	大概	c=3 d=0.240508 t=64909
rhs 	夸	c=1 d=6.45113e-50 t=64909
rhsy 	赋	c=2 d=5.7318e-122 t=64909
rhth 	大于	c=2 d=1.0572e-29 t=64909
rhth 	赋于	c=1 d=3.5974e-120 t=64909
rhzg 	购买	c=3 d=0.786628 t=64909
ri 	史	c=2 d=1.18668e-43 t=64909
rix 	泰	c=1 d=0.66034 t=64909
rizy 	央	c=2 d=5.26101e-104 t=64909
rj 	身	c=2 d=1.45296e-13 t=64909
rjvg 	身份	c=6 d=8.88433e-21 t=64909
rjvi 	身份证	c=56 d=5.80302e-37 t=64909
rjvm 	身体	c=2 d=1.50933e-49 t=64909
rjvv 	身价	c=2 d=7.56611e-102 t=64909
rjxz 	身边	c=1 d=3.4322e-67 t=64909
rkdp 	账户	c=26 d=1.45237 t=64909
rkgm 	熂	c=1 d=2.08132e-94 t=64909
rkgt 	账单	c=182 d=2.72441 t=64909
rkj 	账	c=6 d=4.08847e-59 t=64909
rkos 	账号	c=27 d=1.00578 t=64909
rljf 	炼制	c=1 d=0.733447 t=64909
rm 	柔	c=2 d=1.96561 t=64909
rnf 	煇	c=1 d=1.48873e-05 t=64909
rrfh 	替换	c=57 d=2.87533 t=64909
rrrr 	炎炎	c=1 d=1.11386e-92 t=64909
rrvs 	替代	c=25 d=0.995012 t=64909
rsi 	烒	c=1 d=2.64857e-106 t=64909
rtli 	烦恼	c=1 d=1.08226e-77 t=64909
rto 	奇	c=2 d=3.1255e-54 t=64909
ru 	秦	c=5 d=5.91958e-09 t=64909
rugm 	舂米	c=4 d=0.176401 t=64909
rwhd 	规范	c=3 d=0.554327 t=64909
rwnt 	规定	c=4 d=0.00199811 t=64909
rwrg 	规则	c=21 d=0.944827 t=64909
rwsg 	规划	c=14 d=7.04546e-28 t=64909
rx 	射	c=3 d=1.23375e-61 t=64909
rxax 	财务	c=13 d=2.58344 t=64909
rxd 	射	c=3 d=2.59055e-22 t=64909
rxkk 	射箭	c=1 d=2.35818e-34 t=64909
rxnh 	财富	c=1 d=0.621885 t=64909
rxzr 	赎	c=4 d=4.11109e-53 t=64909
rz 	达	c=16 d=4.17945 t=64909
rzhu 	达到	c=7 d=2.5736e-33 t=64909
rzsj 	达成	c=19 d=2.00371e-61 t=64909
s 	我	c=1036 d=14.3175 t=64909
sa 	要	c=393 d=4.87088 t=64909
saju 	要么	c=3 d=3.48025e-17 t=64909
salo 	要点	c=1 d=0.755783 t=64909
saxx 	要求	c=22 d=0.35933 t=64909
sayw 	要素	c=6 d=3.36625e-84 t=64909
sbjy 	醒	c=1 d=4.31375e-80 t=64909
sbx 	覃	c=1 d=8.06301e-115 t=64909
scgu 	驱动	c=6 d=4.40688e-27 t=64909
sd 	骗	c=1 d=1.15679e-37 t=64909
sf 	酷	c=1 d=1.13635e-92 t=64909
sg 	形	c=22 d=0.690734 t=64909
sgao 	形如	c=2 d=2.22653e-64 t=64909
sgfp 	票据	c=1 d=2.30216e-104 t=64909
sgg 	票	c=4 d=0.913931 t=64909
sggh 	划分	c=5 d=5.70025e-06 t=64909
sgih 	划	c=1 d=7.72208e-48 t=64909
sgio 	共享	c=20 d=0.787281 t=64909
sgis 	典试	c=2 d=9.7401e-52 t=64909
sgj 	共	c=15 d=2.28274e-41 t=64909
sgm 	粟	c=2 d=6.78556e-27 t=64909
sgnf 	共用	c=1 d=1.27351e-109 t=64909
sgnh 	共同	c=1 d=1.20597e-115 t=64909
sgos 	型号	c=10 d=1.36028e-25 t=64909
sgsi 	形式	c=54 d=1.65626 t=64909
sgvl 	形似	c=1 d=1.61784e-101 t=64909
sgy 	型	c=27 d=0.557106 t=64909
sgyo 	恭喜	c=1 d=2.88109e-96 t=64909
sh 	与	c=26 d=1.41901 t=64909
shau 	开始	c=93 d=3.76708 t=64909
shcv 	西医	c=1 d=3.97803e-68 t=64909
shdi 	专注	c=1 d=6.92758e-06 t=64909
shdi 	西游记	c=1 d=7.61878e-66 t=64909
shdj 	开源	c=11 d=8.38766e-35 t=64909
shdp 	开启	c=15 d=1.22959 t=64909
shdp 	开户	c=38 d=1.34024 t=64909
shfp 	开拓	c=1 d=3.36893e-54 t=64909
shgn 	开学	c=1 d=2.8247e-40 t=64909
shgr 	开头	c=9 d=4.57531e-08 t=64909
shh 	井	c=2 d=6.13128e-40 t=64909
shh 	馬	c=1 d=1.3472e-65 t=64909
shhj 	井	c=1 d=6.04269e-104 t=64909
shhj 	戒	c=1 d=6.20662e-66 t=64909
shhk 	开	c=19 d=0.909373 t=64909
shhz 	专	c=1 d=1.30162e-13 t=64909
shi 	西	c=8 d=1.59554 t=64909
shih 	开放	c=13 d=3.27121e-40 t=64909
shih 	开方	c=1 d=9.53141e-54 t=64909
shik 	西部	c=1 d=3.50989e-95 t=64909
shiy 	酉	c=1 d=1.17855e-21 t=64909
shlh 	开车	c=2 d=3.2397e-35 t=64909
shmw 	开机	c=9 d=4.59275 t=64909
shnf 	专用	c=1 d=1.93257e-104 t=64909
shnq 	专家	c=2 d=7.19781e-15 t=64909
shsg 	开票	c=39 d=16.4523 t=64909
shto 	与否	c=1 d=7.38983e-60 t=64909
shud 	开心	c=2 d=1.59522e-53 t=64909
shud 	戒心	c=1 d=2.54039e-86 t=64909
shug 	专利	c=1 d=7.56531e-42 t=64909
shvg 	开会	c=1 d=2.7573e-50 t=64909
shwm 	西红柿	c=1 d=0.99005 t=64909
shxa 	开发	c=170 d=10.2351 t=64909
shxh 	专业	c=2 d=0.885287 t=64909
shxo 	井架	c=1 d=3.07364e-63 t=64909
shzg 	开销	c=1 d=1.01236e-115 t=64909
si 	式	c=36 d=2.4014 t=64909
sid 	駐	c=1 d=9.50136e-105 t=64909
sigx 	駮	c=3 d=7.24607e-51 t=64909
sitp 	曲面屏	c=2 d=5.71196e-40 t=64909
sitq 	曲面	c=2 d=5.71076e-40 t=64909
siws 	曲线	c=1 d=4.43365e-79 t=64909
six 	馼	c=2 d=6.00151e-53 t=64909
siz 	曲	c=3 d=7.17463e-40 t=64909
sj 	成	c=77 d=2.44007 t=64909
sjax 	成对	c=1 d=1.31999e-119 t=64909
sjb 	醏	c=1 d=1.48484e-33 t=64909
sjdx 	感染	c=1 d=3.96734e-07 t=64909
sjgm 	成数	c=7 d=2.70938e-115 t=64909
sjgn 	感觉	c=7 d=3.3865e-27 t=64909
sjh 	我	c=1 d=4.44044e-97 t=64909
sjig 	成交	c=2 d=9.3969e-105 t=64909
sjix 	成功	c=77 d=2.93734 t=64909
sjjb 	成都	c=46 d=3.61511e-42 t=64909
sjjn 	感受	c=1 d=0.618784 t=64909
sjmh 	成本	c=4 d=2.64677e-98 t=64909
sjng 	感冒	c=1 d=2.73499e-72 t=64909
sjoo 	成品	c=3 d=1.79829e-51 t=64909
sjor 	成员	c=5 d=2.17018e-22 t=64909
sl 	配	c=4 d=0.755784 t=64909
slfh 	配搭	c=1 d=4.49865e-15 t=64909
slhl 	配色	c=3 d=0.767206 t=64909
slqx 	配置	c=491 d=18.0072 t=64909
slvc 	配偶	c=2 d=2.50044e-76 t=64909
slvh 	配合	c=14 d=0.522046 t=64909
sn 	散	c=2 d=0.00225411 t=64909
so 	或	c=217 d=6.04047 t=64909
sojb 	或者	c=9 d=1.10699 t=64909
sp 	邢	c=2 d=2.56066e-27 t=64909
sr 	费	c=80 d=1.6942 t=64909
srbx 	费时	c=1 d=2.48958e-113 t=64909
srij 	贾	c=1 d=6.61626e-112 t=64909
srnf 	费用	c=206 d=6.27052 t=64909
srzi 	费劲	c=1 d=2.1625e-103 t=64909
st 	酊	c=2 d=5.94925e-09 t=64909
svii 	验证	c=37 d=4.79619 t=64909
svyi 	覆盖率	c=37 d=2.10203e-34 t=64909
svyq 	覆盖	c=5 d=5.84754e-12 t=64909
sw 	凫	c=1 d=0.759572 t=64909
sxx 	駁	c=1 d=0.740819 t=64909
syg 	黄	c=4 d=5.2609e-40 t=64909
syhl 	黄色	c=1 d=3.79265e-36 t=64909
synb 	与此同时	c=1 d=8.93342e-27 t=64909
sz 	进	c=30 d=2.3017e-22 t=64909
szh 	弗	c=1 d=2.51956e-48 t=64909
szio 	进京	c=4 d=1.6438e-53 t=64909
szjf 	进制	c=11 d=2.24977e-39 t=64909
szjh 	进度	c=5 d=2.99631e-28 t=64909
szl 	马	c=1 d=2.20851e-86 t=64909
szmg 	进来	c=1 d=3.73086e-78 t=64909
szps 	进展	c=1 d=3.30391e-60 t=64909
szuo 	进程	c=6 d=1 t=64909
szvf 	马年	c=2 d=7.7443e-56 t=64909
szvh 	进行	c=103 d=3.32298 t=64909
szvj 	进入	c=13 d=8.70207e-28 t=64909
szyi 	马上	c=6 d=2.16603e-34 t=64909
szyu 	进去	c=1 d=2.16183e-70 t=64909
t 	不	c=1270 d=11.3082 t=64909
ta 	被	c=21 d=0.71177 t=64909
tazz 	被子	c=2 d=1.3393e-84 t=64909
tb 	百	c=11 d=2.33227e-51 t=64909
tbgh 	百分	c=9 d=2.93304e-36 t=64909
tbi 	百	c=3 d=1.97341e-56 t=64909
tbjh 	百度	c=4 d=1.55762 t=64909
td 	褊	c=1 d=1.2142e-48 t=64909
tee 	祤	c=1 d=2.11261e-05 t=64909
tg 	平	c=20 d=1.25569e-16 t=64909
tgih 	平方	c=10 d=2.50145e-22 t=64909
tgjb 	平息	c=5 d=1.47618e-23 t=64909
tgtq 	平面	c=5 d=2.23903e-31 t=64909
tguo 	平台	c=68 d=5.00808 t=64909
tgvh 	平行	c=1 d=9.17515e-47 t=64909
tgvh 	平衡	c=1 d=9.0839e-47 t=64909
tgvo 	裕	c=1 d=2.21958e-86 t=64909
tgyh 	平均	c=7 d=4.15528e-29 t=64909
tgzf 	平铺	c=4 d=1.14431e-27 t=64909
th 	于	c=232 d=3.82797 t=64909
thau 	初始	c=6 d=0.778801 t=64909
thav 	初始化	c=135 d=9.04005 t=64909
thdh 	下次	c=4 d=0.704688 t=64909
thdh 	初次	c=2 d=7.12428e-100 t=64909
thfi 	下拉	c=35 d=4.03278e-23 t=64909
thfw 	干扰	c=1 d=5.6784e-49 t=64909
thh 	干	c=12 d=2.29684e-18 t=64909
thi 	丁	c=1 d=0.0977833 t=64909
thi 	下	c=639 d=7.77721 t=64909
thid 	丁	c=1 d=1.14965e-23 t=64909
thig 	下班	c=18 d=7.55888e-32 t=64909
thik 	下部	c=3 d=3.81478e-75 t=64909
thix 	下	c=2 d=1.46314e-09 t=64909
thkj 	初版	c=1 d=4.87731e-54 t=64909
thmg 	下来	c=6 d=1.15724 t=64909
tho 	袧	c=1 d=7.47403e-105 t=64909
thoq 	福	c=46 d=11.3245 t=64909
thtq 	下面	c=72 d=1.95484 t=64909
thvi 	不停	c=1 d=5.1645e-80 t=64909
thvj 	干什么	c=1 d=6.82146e-89 t=64909
thvx 	下午	c=11 d=1.64855e-51 t=64909
thwa 	下级	c=2 d=1.17386e-118 t=64909
thxs 	下载	c=67 d=7.84151 t=64909
thyg 	初步	c=15 d=0.782704 t=64909
thyu 	下去	c=1 d=1.28412e-89 t=64909
thz 	初	c=7 d=1.31401e-25 t=64909
ti 	甲	c=4 d=0.786628 t=64909
tioa 	霸王别姬	c=4 d=5.21213e-41 t=64909
tj 	裤	c=1 d=0.15259 t=64909
tl 	礼	c=6 d=6.87757e-09 t=64909
tli 	补	c=45 d=4.06461 t=64909
tliu 	补充	c=15 d=2.92552e-26 t=64909
tlrl 	补贴	c=3 d=4.28416e-25 t=64909
tlyi 	补上	c=1 d=9.30714e-68 t=64909
tn 	而	c=57 d=0.844028 t=64909
tnbi 	而且	c=6 d=5.75852e-08 t=64909
tng 	而	c=15 d=1.67965 t=64909
tngd 	耐	c=1 d=3.55517e-40 t=64909
tnud 	耐心	c=1 d=2.50207e-113 t=64909
to 	可	c=132 d=2.24479 t=64909
tofo 	可靠	c=1 d=0.985112 t=64909
tofw 	可选	c=26 d=4.10912e-17 t=64909
toi 	否	c=220 d=13.6956 t=64909
toix 	可变	c=1 d=4.16281e-14 t=64909
toix 	可读	c=3 d=9.02404e-49 t=64909
told 	可以	c=628 d=8.29672 t=64909
tols 	可惜	c=11 d=1.41192e-39 t=64909
tolv 	可疑	c=1 d=3.1918e-95 t=64909
tonf 	可用	c=19 d=4.64844 t=64909
torg 	否则	c=15 d=0.111917 t=64909
toto 	哥哥	c=2 d=3.61231e-97 t=64909
totw 	可视	c=2 d=1.78635e-26 t=64909
toun 	可能	c=81 d=2.13728 t=64909
towi 	可见	c=1 d=7.30588e-102 t=64909
tq 	面	c=117 d=3.0748 t=64909
tqam 	面条	c=1 d=3.84513e-80 t=64909
tqhl 	面包	c=1 d=2.03109e-42 t=64909
tqhl 	面色	c=1 d=2.02096e-42 t=64909
tqjn 	面向	c=4 d=3.19825e-115 t=64909
tqmj 	面板	c=2 d=2.34124e-08 t=64909
tquo 	面积	c=258 d=2.55339e-24 t=64909
tr 	页	c=34 d=1.95697 t=64909
trgm 	页数	c=6 d=4.41797e-08 t=64909
trps 	页码	c=2 d=1.00638e-07 t=64909
trtq 	页面	c=117 d=9.81162 t=64909
tsa 	嫑	c=1 d=3.05268e-12 t=64909
tt 	顶	c=4 d=3.90677e-105 t=64909
ttik 	顶部	c=6 d=0.786628 t=64909
ttr 	頂	c=1 d=2.99163e-39 t=64909
ttsv 	不可或缺	c=1 d=4.17075e-07 t=64909
ttwa 	顶级	c=1 d=4.5051e-120 t=64909
tw 	视	c=3 d=4.64765e-16 t=64909
twdx 	视为	c=1 d=4.6014e-16 t=64909
twi 	视	c=3 d=9.9617e-44 t=64909
twng 	视窗	c=4 d=1.04972e-46 t=64909
twqa 	视图	c=11 d=1.08338e-08 t=64909
twyg 	视频	c=33 d=17.8367 t=64909
tx 	需	c=20 d=1.05501e-32 t=64909
txli 	雷电	c=2 d=2.42405e-56 t=64909
txq 	雷	c=5 d=1.97375e-58 t=64909
txsa 	需要	c=329 d=5.63205 t=64909
txvz 	零	c=7 d=2.73702e-22 t=64909
txx 	霏	c=1 d=1.94847e-24 t=64909
txxx 	需求	c=40 d=0.573655 t=64909
ty 	社	c=2 d=8.35792e-109 t=64909
tycx 	社区	c=5 d=0.000490542 t=64909
tyd 	祥	c=1 d=5.6908e-104 t=64909
tyh 	社	c=1 d=6.92079e-112 t=64909
tyvg 	社会	c=9 d=0.76338 t=64909
tz 	还	c=289 d=4.03832 t=64909
tzaz 	还好	c=1 d=0.941765 t=64909
tzjj 	还原	c=1 d=5.25701e-83 t=64909
tzsa 	还要	c=2 d=4.13052e-40 t=64909
tzxn 	还有	c=6 d=0.501576 t=64909
tzyg 	还款	c=52 d=2.49829e-35 t=64909
u 	能	c=188 d=4.36477 t=64909
ua 	收	c=71 d=0.942584 t=64909
uaba 	收取	c=9 d=1.91281e-42 t=64909
uafp 	收据	c=1 d=2.3253e-104 t=64909
uafv 	收拾	c=2 d=1.075e-49 t=64909
